1000000005897820295	82.950288	52
1000000012659499769	82.836085	52
1000000055544541299	82.832015	52
1000000038648160598	82.811066	52
1000000003334198432	82.684843	52
1000000059056398469	82.675244	52
1000000021360950043	82.624975	52
1000000068227742896	82.619894	52
1000000063312451736	82.508273	52
1000000050212119615	82.471879	52
1000000026625922333	82.395328	52
1000000014026648898	82.394131	52
1000000059495098866	82.341474	52
1000000000074595777	82.335848	52
1000000018925955743	82.307973	52
1000000077635103735	82.306978	52
1000000010380662099	82.246166	52
1000000063669396154	82.243040	52
1000000022005612499	82.201727	52
1000000062322779318	82.178161	52
1000000042360258766	82.099946	52
1000000074985464281	82.097952	52
1000000007254865872	82.040082	52
1000000056849735715	81.939278	52
1000000065153484095	81.930255	52
1000000056585702753	81.906250	52
1000000038854548440	81.897971	52
1000000009476938368	81.860671	52
1000000011581730656	81.802728	52
1000000033529913062	81.772727	52
1000000004175335434	81.770985	52
1000000061273358358	81.768924	52
1000000032149734044	81.756658	52
1000000044197971642	81.748943	52
1000000040116068994	81.732000	52
1000000041871852010	81.722914	52
1000000081738343155	81.719152	52
1000000078228957241	81.714796	52
1000000041985061356	81.699666	52
1000000006613997931	81.690968	52
1000000038668706282	81.630540	52
1000000068586346856	81.630221	52
1000000056778402740	81.626360	52
1000000089651652117	81.616004	52
1000000006352886691	81.606208	52
1000000060904902270	81.603803	52
1000000091112816548	81.580902	52
1000000080954183203	81.565852	52
1000000066938920274	81.563669	52
1000000033803324387	81.558435	52
1000000068260105242	81.542914	52
1000000067329541887	81.542560	52
1000000060825999742	81.521383	52
1000000086107065159	81.501176	52
1000000053191366361	81.493214	52
1000000014231196348	81.474383	52
1000000086581217463	81.463284	52
1000000004520792070	81.458353	52
1000000053680989363	81.439983	52
1000000003744519160	81.436324	52
1000000001053171284	81.436313	52
1000000015368690703	81.428022	52
1000000075684018284	81.418817	52
1000000074829057915	81.416803	52
1000000023986634004	81.416458	52
1000000008440476825	81.408624	52
1000000036401648750	81.406757	52
1000000068555384673	81.394796	52
1000000020202438046	81.390671	52
1000000085299808428	81.387295	52
1000000041061384156	81.373656	52
1000000003754339328	81.371984	52
1000000047095601874	81.363208	52
1000000092470176817	81.360252	52
1000000080518011199	81.347260	52
1000000032115878036	81.346227	52
1000000034994761303	81.344742	52
1000000041071189923	81.343959	52
1000000079192050937	81.332960	52
1000000056044525001	81.331342	52
1000000065541718907	81.326976	52
1000000006110280440	81.325859	52
1000000003162796799	81.321276	52
1000000018509171550	81.315710	52
1000000079710810056	81.312275	52
1000000003932824620	81.307805	52
1000000042856412168	81.303466	52
1000000030569928360	81.302186	52
1000000053267564319	81.299507	52
1000000082553232363	81.291402	52
1000000033879155088	81.289618	52
1000000005706455702	81.283776	52
1000000006982182825	81.283535	52
1000000038653518534	81.279976	52
1000000033567868494	81.272718	52
1000000002130713449	81.267748	52
1000000014998507624	81.242627	52
1000000047921723982	81.215301	52
1000000030116014747	81.215139	52
1000000084968393634	81.207107	52
1000000048494348595	81.206881	52
1000000076955019412	81.203147	52
1000000046151843422	81.202891	52
1000000098326874262	81.197577	52
1000000079984068353	81.192580	52
1000000088320832892	81.189628	52
1000000056980977568	81.187993	52
1000000085072048655	81.181033	52
1000000036769172792	81.174132	52
1000000089238161190	81.154265	52
1000000022070660309	81.148978	52
1000000067123521762	81.148627	52
1000000019549683111	81.144980	52
1000000003274416971	81.139368	52
1000000080727120267	81.136770	52
1000000031951136806	81.117701	52
1000000061682627163	81.117150	52
1000000061643271580	81.114642	52
1000000043740245267	81.112641	52
1000000069176035190	81.111274	52
1000000033955854451	81.108342	52
1000000002026639417	81.093332	52
1000000005981552807	81.091456	52
1000000061409472347	81.090206	52
1000000028412704427	81.082586	52
1000000057232140543	81.067053	52
1000000089335529514	81.064845	52
1000000077244495106	81.051322	52
1000000022962843439	81.050122	52
1000000008012362803	81.042528	52
1000000041226615112	81.042202	52
1000000040656062263	81.029018	52
1000000088093088751	81.027289	52
1000000088388648571	81.020646	52
1000000055091041880	81.003125	52
